bigg_id	KEGG	SEED
3KGK	R07127	
ALTRH	R01540	
GUI1	R01482	
GUI2	R01983	
RBK_L1	R02439	
RBP4E	R05850	
TAGURr	R02555	
XYLTD_D	R01896	
RBK_Dr	R01526	
ABTDG	R05604	
RBTDG	R01895	
DGULND	R01905	
GULN3D	R02640	
GULNDer	R01481	
RPEh	R01529	
ALCD19_L	R10563	
XYLOR	R01430	
r0784	R05831	
DOGULNR	R02637	
GALUi	R00289	
KG6PDC	R07125	
LYXI	R01906	
MANAO	R02454	
MNNH	R05606	
RPE	R01529	
UDPGD	R00286	
X5PL3E	R03244	
XYLI1	R01432	
XYLK	R01639	
XYLK2	R01901	
XYLR	R01431	
ABTD	R01903	
FBA4	R01785	
XYLUR	R01904	
GULND	R01481	
